Nombre del evento,Número de eventos,Total de usuarios,Número de eventos por usuario,Total de ingresos
START_LEVEL_32,8490,7365,1.1547878128400435,0
LEVEL_COMPLETED_27,8463,8313,1.0197614170381974,0
TIME_LEVEL_241,8450,8294,1.0202849553248008,0
START_LEVEL_36,8439,7104,1.1897645566051036,0
START_LEVEL_39,8413,6866,1.2274584184417858,0
START_LEVEL_33,8381,7288,1.1517108698639549,0
START_LEVEL_41,8344,6695,1.2481675392670157,0
LEVEL_COMPLETED_28,8339,8199,1.018939393939394,0
START_LEVEL_35,8307,7172,1.1600335148722245,0
START_LEVEL_37,8241,6999,1.178969957081545,0
TIME_LEVEL_251,8232,8056,1.0234986945169713,0
LEVEL_COMPLETED_29,8204,8074,1.0178660049627792,0
START_LEVEL_34,8184,7210,1.1368245589665231,0
LEVEL_COMPLETED_30,8077,7946,1.018408775690329,0
TIME_LEVEL_261,8063,7918,1.019729353737195,0
START_LEVEL_40,7942,6697,1.187855219862399,0
TIME_LEVEL_271,7933,7757,1.0240092939202272,0
START_LEVEL_38,7925,6897,1.1512202208018594,0
TIME_LEVEL_281,7815,7651,1.0229057591623036,0
TIME_LEVEL_291,7691,7537,1.022059800664452,0
START_LEVEL_42,7653,6545,1.1708996328029375,0
TIME_LEVEL_301,7560,7401,1.022865647409011,0
START_LEVEL_43,7496,6467,1.160730876432332,0
LEVEL_COMPLETED_31,7440,7298,1.020996294771511,0
START_LEVEL_44,7433,6403,1.1617693029071585,0
TIME_LEVEL_311,7427,7287,1.0207531610775151,0
START_LEVEL_50,7416,6133,1.2105778648383938,0
START_LEVEL_47,7346,6246,1.177809844476511,0
LEVEL_COMPLETED_32,7340,7198,1.0212884374565188,0
START_LEVEL_46,7338,6279,1.17089516515079,0
TIME_LEVEL_321,7327,7187,1.0210423634336678,0
LEVEL_COMPLETED_33,7254,7147,1.016535874439462,0
TIME_LEVEL_331,7242,7138,1.0161358215237828,0
START_LEVEL_45,7219,6320,1.1436945500633713,0
START_LEVEL_48,7190,6165,1.167966211825861,0
LEVEL_COMPLETED_34,7186,7076,1.0171266808209483,0
START_LEVEL_85,7185,4869,1.4777869189633897,0
TIME_LEVEL_341,7174,7065,1.0170116246101504,0
START_LEVEL_49,7108,6120,1.1631484208803797,0
LEVEL_COMPLETED_35,7106,7007,1.0157232704402517,0
TIME_LEVEL_351,7094,6996,1.0156048675733715,0
START_LEVEL_51,7069,5986,1.1825025092004016,0
LEVEL_COMPLETED_36,6998,6900,1.0158223254463639,0
TIME_LEVEL_361,6986,6889,1.0157022390229717,0
LEVEL_COMPLETED_37,6906,6821,1.0140969162995594,0
TIME_LEVEL_371,6893,6810,1.0138255625827328,0
START_LEVEL_53,6871,5917,1.1629993229519295,0
START_LEVEL_54,6863,5886,1.1677726731325506,0
LEVEL_COMPLETED_38,6853,6759,1.01586125111177,0
TIME_LEVEL_381,6839,6748,1.015290973871734,0
START_LEVEL_55,6834,5853,1.1694045174537988,0
LEVEL_COMPLETED_39,6747,6637,1.0178005732387991,0
TIME_LEVEL_391,6736,6629,1.017215342796738,0
START_LEVEL_61,6695,5598,1.1978887099660047,0
START_LEVEL_56,6677,5771,1.1592013888888888,0
START_LEVEL_58,6662,5716,1.1673383564044155,0
START_LEVEL_57,6654,5740,1.1608513607815771,0
START_LEVEL_63,6654,5531,1.2049981890619341,0
LEVEL_COMPLETED_40,6647,6554,1.0160501375726079,0
TIME_LEVEL_401,6637,6548,1.015452876376989,0
START_LEVEL_71,6605,5203,1.270925533961901,0
START_LEVEL_60,6601,5632,1.173719772403983,0
START_LEVEL_52,6597,5928,1.1139817629179332,0
LEVEL_COMPLETED_41,6549,6467,1.014091049860638,0
TIME_LEVEL_411,6538,6459,1.0136434108527133,0
START_LEVEL_64,6500,5461,1.1917858452511918,0
LEVEL_COMPLETED_42,6493,6404,1.0151657285803628,0
TIME_LEVEL_421,6483,6400,1.014395243310906,0
START_LEVEL_70,6481,5256,1.2347113735949704,0
START_LEVEL_62,6440,5553,1.1616161616161615,0
START_LEVEL_65,6431,5419,1.1887245841035121,0
LEVEL_COMPLETED_43,6430,6338,1.0156373400726584,0
TIME_LEVEL_431,6420,6332,1.0150197628458497,0
START_LEVEL_59,6381,5653,1.1303808680248006,0
LEVEL_COMPLETED_44,6366,6273,1.016121308858739,0
TIME_LEVEL_441,6356,6269,1.0153354632587859,0
START_LEVEL_66,6327,5365,1.1815126050420168,0
START_LEVEL_72,6315,5138,1.2312341587054008,0
LEVEL_COMPLETED_45,6307,6215,1.0164383561643835,0
TIME_LEVEL_451,6297,6210,1.0156451612903226,0
LEVEL_COMPLETED_46,6268,6180,1.01621271076524,0
TIME_LEVEL_461,6257,6175,1.0150876054510058,0
START_LEVEL_84,6235,4831,1.2938368956214983,0
LEVEL_COMPLETED_47,6205,6123,1.0143861369952591,0
TIME_LEVEL_471,6194,6116,1.0137479541734862,0
START_LEVEL_67,6153,5310,1.1613816534541337,0
LEVEL_COMPLETED_48,6147,6069,1.0148588410104011,0
TIME_LEVEL_481,6135,6056,1.0143849206349207,0
START_LEVEL_82,6120,4844,1.266294227188082,0
LEVEL_COMPLETED_49,6112,6027,1.015113768476997,0
START_LEVEL_69,6104,5259,1.1622239146991622,0
TIME_LEVEL_491,6103,6021,1.0146300914380715,0
START_LEVEL_100,6097,4291,1.4238673517048108,0
START_LEVEL_68,6085,5296,1.1511539916761255,0
LEVEL_COMPLETED_50,6022,5940,1.0150008427439743,0
TIME_LEVEL_501,6012,5934,1.0143411506664417,0
START_LEVEL_73,5992,5082,1.1813880126182965,0
LEVEL_COMPLETED_51,5980,5895,1.015625,0
TIME_LEVEL_511,5971,5889,1.0151309078544712,0
START_LEVEL_87,5959,4649,1.283990519284637,0
START_LEVEL_75,5946,5027,1.1858795372955724,0
START_LEVEL_76,5943,5008,1.1893135881528918,0
START_LEVEL_78,5943,4963,1.1998788612961842,0
LEVEL_COMPLETED_52,5942,5859,1.0153793574846206,0
TIME_LEVEL_521,5932,5852,1.014884516680924,0
LEVEL_COMPLETED_53,5914,5828,1.0158021298522844,0
START_LEVEL_94,5914,4468,1.325711723828738,0
TIME_LEVEL_531,5904,5821,1.01530524505589,0
LEVEL_COMPLETED_54,5886,5802,1.0157031924072477,0
TIME_LEVEL_541,5875,5794,1.0153819564465951,0
START_LEVEL_74,5817,5040,1.1576119402985074,0
START_LEVEL_80,5815,4881,1.1940451745379876,0
LEVEL_COMPLETED_55,5814,5732,1.015900751354185,0
START_LEVEL_81,5812,4864,1.1971163748712668,0
TIME_LEVEL_551,5804,5726,1.0152177715585098,0
START_LEVEL_77,5799,4964,1.170569236980218,0
LEVEL_COMPLETED_56,5774,5691,1.0160126693647722,0
TIME_LEVEL_561,5764,5684,1.0155038759689923,0
LEVEL_COMPLETED_57,5729,5653,1.0150602409638554,0
START_LEVEL_79,5723,4911,1.167720873291165,0
TIME_LEVEL_571,5721,5648,1.01454158538748,0
START_LEVEL_96,5689,4375,1.30242673992674,0
LEVEL_COMPLETED_58,5682,5610,1.014280614066405,0
TIME_LEVEL_581,5674,5605,1.0137573700196534,0
LEVEL_COMPLETED_59,5656,5580,1.015075376884422,0
TIME_LEVEL_591,5648,5575,1.0145500269444943,0
START_LEVEL_83,5631,4767,1.1834804539722572,0
START_LEVEL_90,5628,4494,1.2548494983277592,0
START_LEVEL_130,5627,3644,1.5480055020632737,0
LEVEL_COMPLETED_60,5604,5532,1.0144822592324403,0
START_LEVEL_86,5604,4653,1.2064585575888052,0
TIME_LEVEL_601,5596,5527,1.0139518028628374,0
LEVEL_COMPLETED_61,5579,5505,1.0147326300472899,0
TIME_LEVEL_611,5571,5500,1.0141998907700709,0
START_LEVEL_110,5562,4015,1.3891108891108892,0
